t A E T
3500.0 8.05464064153659e-05 8.769078198171763e-05 -4.3332997550350576e-08
3510.0 8.579316885658727e-05 8.242162563871017e-05 -6.086580985753412e-08
3520.0 9.070131342416585e-05 7.682715810876855e-05 -7.815837516268352e-08
3530.0 9.525146816109575e-05 7.092946024716166e-05 -9.514243731642254e-08
3540.0 9.942567406425509e-05 6.475180973464196e-05 -1.1175095723350349e-07
3550.0 0.00010320745596456251 5.831858920099659e-05 -1.2791837898572743e-07
3560.0 0.00010658188755566003 5.165518998969431e-05 -1.4358088669049629e-07
3570.0 0.00010953565030431025 4.478791194131363e-05 -1.5867665842733626e-07
3580.0 0.00011205708601879503 3.7743859587934314e-05 -1.7314610891614411e-07
3590.0 0.00011413624286250268 3.055083517679744e-05 -1.8693212509068867e-07
3600.0 0.00011576491463139802 2.323722893661338e-05 -1.9998029159632683e-07
3610.0 0.000116936673144685 1.5831907022935117e-05 -2.1223910423966695e-07
3620.0 0.00011764689361433081 8.364097586900112e-06 -2.236601769400122e-07
3630.0 0.00011789277290052318 8.632754124305274e-07 -2.3419842862373646e-07
3640.0 0.0001176733405742654 -6.640954415388007e-06 -2.438122632241607e-07
3650.0 0.00011698946274646415 -1.411897336000981e-05 -2.524637334404929e-07
3660.0 0.0001158438386515394 -2.1541266336093075e-05 -2.601186900622011e-07
3670.0 0.00011424098999103201 -2.8878538201901208e-05 -2.6674691858260755e-07
3680.0 0.00011218724308935954 -3.610182938574549e-05 -2.723222562379165e-07
3690.0 0.00010969070392274774 -4.3182630185480304e-05 -2.7682269613594265e-07
3700.0 0.00010676122612504678 -5.009299329459529e-05 -2.8023047463554204e-07
3710.0 0.00010341037209955057 -5.680564410856363e-05 -2.825321407764255e-07
3720.0 9.965136737868029e-05 -6.329408837385585e-05 -2.8371860908088867e-07
3730.0 9.549904842555846e-05 -6.953271675848912e-05 -2.8378519640031435e-07
3740.0 9.096980407747603e-05 -7.54969059323994e-05 -2.827316405238766e-07
3750.0 8.608151085946194e-05 -8.116311574967664e-05 -2.805620998812524e-07
3760.0 8.085346242702731e-05 -8.650898216310638e-05 -2.7728513786744353e-07
3770.0 7.530629341509932e-05 -9.151340549077647e-05 -2.729136887201153e-07
3780.0 6.946189799570302e-05 -9.615663369558431e-05 -2.6746500770332554e-07
3790.0 6.334334346555829e-05 -0.00010042034034636149 -2.6096060189845487e-07
3800.0 5.69747791981331e-05 -0.00010428769694713303 -2.534261451723986e-07
3810.0 5.038134133011007e-05 -0.00010774343936107149 -2.4489137593545866e-07
