"A acc" "E acc" "A oms" "E oms"
37.39383436431516 37.39383436431516 4.269725940480335 4.2854852039744005
8.72569442770117 8.72569442770117 5.9047294040698715 5.9047294040698715
7.502396279074644 7.502396279074644 6.582638416409025 6.582638416409025
5.021113054699537 5.021113054699537 12.823305826560231 12.823305826560231
4.839494493016627 4.839494493016627 14.641986429352785 14.641986429352785
4.759923796672498 4.759923796672498 15.76158904963839 15.76158904963839
4.742419852602448 4.742419852602448 16.11387535720004 16.11387535720004
4.570881896148752 4.570881896148752 19.915902890576117 19.915902890576117
4.554073126832544 4.554073126832544 20.248833065305597 20.248833065305597
4.520640796485012 4.520640796485012 21.242224773886992 21.242224773886992
4.487453899331323 4.487453899331323 22.407840267860596 22.407840267860596
5.77563846394534 5.77563846394534 9.086570489581463 9.086570489581463
4.6644452520377975 4.6644452520377975 17.571142465950967 17.571142465950967
4.397440784473689 4.397440784473689 26.94014941063672 26.94014941063672
4.293386634704309 4.293386634704309 34.99451670283577 34.99451670283577
4.269725940480335 4.269725940480335 37.119319004414066 37.119319004414066
