source phi0
"HM Cnc" -0.6239693343379714
"V407 Vul" 2.5092928361983304
"ES Cet" 2.17189944331321
"SDSS J135154.46–064309.0" 0.8935368991200168
"AM Cvn" 0.6841406904404761
"SDSS J190817.07+394036.4" 0.568030168273075
"HP Lib" 0.5331733339614443
"PTF1 J191905.19+481506.2" 0.14959245518025982
"CXOGBS J175107.6–294037" 0.11462813472733575
"CR Boo" 0.010082814259832252
"V803 Cen" -0.11771882194440937
"SDSS J065133.34+284423.4" 1.4630169018875083
"SDSS J093506.92+441107.0" 0.3819996040911296
"SDSS J163030.58+423305.7" -0.5944134094116647
"SDSS J092345.59+302805.0" -0.9779178194809
CD—30$^\circ$11223 -1.0244350575032877
